ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
0,Image/train/ACADIAN FLYCATCHER/001.jpg,Bird,Acadian Flycatcher,Tyrannidae,Empidonax virescens,15 cm (6 inches),Varies,Deciduous forests,10 years,"The Acadian Flycatcher is a small songbird found in North America, known for its olive-green upperparts and pale underparts. It nests in mature forests and is known for its sharp 'peet-sa' call. It catches insects mid-flight and is often spotted near streams and rivers."
1,Image/train/AMERICAN CROW/001.jpg,Bird,American Crow,Corvidae,Corvus brachyrhynchos,43-53 cm (17-21 inches),320-620 grams,Forests,7-8 years,"The American Crow is a large, black bird commonly found in North America. It is known for its intelligence, loud cawing, and adaptability to various habitats. It feeds on insects, seeds, small animals, and carrion."
2,Image/train/AMERICAN GOLDFINCH/001.jpg,Bird,American Goldfinch,Fringillidae,Spinus tristis,11-14 cm (4-5.5 inches),11-20 grams,Open woodlands,7-10 years,"The American Goldfinch is a small, bright yellow bird in the summer and olive-brown in winter. It is known for its acrobatic flight and is commonly seen in weedy fields and suburban areas across North America."
3,Image/train/AMERICAN THREE TOED WOODPECKER/001.jpg,Bird,American Three-toed Woodpecker,Picidae,Picoides dorsalis,21 cm (8.5 inches),55-68 grams,Coniferous forests,6-8 years,"The American Three-toed Woodpecker is a medium-sized woodpecker found in North American forests. It is known for its black-and-white plumage and unique three toes, as opposed to the usual four toes in woodpeckers."
4,Image/train/AMERICAN PIPIT/001.jpg,Bird,American Pipit,Motacillidae,Anthus rubescens,16.5 cm (6.5 inches),23 grams,Open tundra and mountain meadows,Not Available Right Now,"The American Pipit is a small passerine bird that breeds in North America. It is brownish-grey with streaked underparts, commonly seen walking on the ground in search of insects and seeds."
5,Image/train/AMERICAN REDSTART/001.jpg,Bird,American Redstart,Parulidae,Setophaga ruticilla,13 cm (5 inches),7.7 grams,Woodlands and forest edges,Not Available Right Now,"The American Redstart is a small migratory bird known for its striking black-and-orange plumage. It is an active forager, flashing its tail to startle insects while hunting. It is commonly found in North America."
6,Image/train/ANNA HUMMINGBIRD/001.jpg,Bird,Anna's Hummingbird,Trochilidae,Calypte anna,10 cm (4 inches),3-4 grams,Gardens,1-5 years,"Anna's Hummingbird is a medium-sized hummingbird with iridescent green feathers and a striking rose-pink throat in males. It is one of the few hummingbirds to remain in North America year-round."
200,Image/train/ANTELOPE/001.jpg,Mammal,Antelope,Bovidae,Antilopinae,85-105 cm (33-41 inches),40-60 kg,Grasslands,10-15 years,"Antelopes are medium-sized herbivores known for their speed and agility. Found primarily in Africa, they graze in grasslands and open savannas, and are a prey species for many predators."
7,Image/train/ARCTIC TERN/001.jpg,Bird,Arctic Tern,Laridae,Sterna paradisaea,33-39 cm (13-15 inches),85-125 grams,Coastal areas,15-30 years,"The Arctic Tern is a small, graceful bird known for its extraordinary migration, traveling from the Arctic to the Antarctic and back every year. It has a distinctive black cap and white body, and is often found near coastal regions."
999,Image/train/BADGER/001.jpg,Mammal,Badger,Mustelidae,Meles meles,56-81 cm (22-32 inches),7-13 kg,Woodlands,4-14 years,"Badgers are nocturnal mammals known for their digging abilities. They live in burrows and are found across Europe, Asia, and North America. Their diet mainly consists of earthworms, insects, and small mammals."
